S_i,A_i
75,89
79,100
82,99
97,12
30,56
98,94
3,3
52,44
43,94
21,47
99,29
6,47
25,87
21,94
73,31
18,57
27,79
62,41
97,28
35,33
89,29
19,80
76,35
46,20
76,21
64,28
53,35
21,71
40,49
71,35
56,12
85,88
35,19
71,14
25,53
56,55
63,8
61,12
85,74
96,79
17,82
30,51
78,14
87,92
24,67
47,47
52,74
71,79
97,96
58,100
96,17
87,48
34,56
39,3
85,3
60,74
68,94
93,54
88,79
2,12
30,8
52,68
66,14
67,22
6,18
55,67
33,95
49,11
59,30
47,17
93,3
4,82
88,1
30,37
75,96
92,98
55,39
94,76
86,83
67,3
77,76
83,58
7,25
10,23
77,89
25,16
65,17
45,55
48,21
58,95
24,53
80,5
43,67
60,81
29,19
96,64
33,72
53,75
9,88
63,15
57,71
34,52
32,74
91,39
58,30
70,41
61,22
83,53
89,41
56,36
89,17
22,52
41,40
89,77
19,32
70,50
86,31
7,21
32,50
22,24
90,10
62,95
49,95
21,3
28,93
50,59
5,83
16,3
20,42
89,25
84,61
21,80
63,68
87,61
94,96
81,55
1,62
32,6
80,61
73,91
46,74
90,7
20,28
3,26
80,63
55,44
62,34
35,63
65,80
82,28
34,82
25,60
8,79
65,45
60,42
13,84
4,38
65,30
17,27
54,37
18,49
11,79
71,37
15,46
6,92
22,82
44,32
48,77
27,38
90,41
48,32
68,8
49,67
3,28
81,33
46,31
26,41
28,89
25,7
3,100
30,45
2,47
91,14
28,86
54,8
11,1
19,94
33,91
70,5
69,58
97,66
45,74
50,39
33,28
41,47
84,95
45,26
76,84
74,60
1,61
2,1
57,44
6,67
64,51
24,63
70,90
22,14
55,11
53,43
3,14
84,95
51,69
91,92
41,37
14,8
30,38
45,20
89,29
12,85
53,88
77,82
1,10
7,65
5,15
22,65
10,33
30,30
76,66
15,35
70,48
30,61
28,5
98,70
36,82
59,17
51,100
34,68
45,41
27,43
75,32
73,93
3,74
83,60
91,53
85,86
25,81
55,1
55,99
16,42
10,31
25,78
74,47
87,53
12,35
63,91
29,48
59,99
75,73
86,9
89,67
60,61
27,98
58,21
30,81
2,92
74,42
90,39
60,88
34,43
63,92
37,92
66,84
80,56
66,74
35,75
44,37
52,81
31,35
74,34
77,62
92,4
2,33
2,48
65,80
61,73
89,68
45,63
31,8
34,42
36,68
90,12
38,47
65,6
63,85
21,44
99,60
8,74
97,83
35,85
24,52
17,51
33,2
96,99
1,97
2,65
50,77
92,20
34,43
27,68
41,67
46,29
64,23
11,64
29,15
26,37
82,51
14,48
100,78
47,81
23,1
24,83
69,49
97,67
83,40
78,65
42,13
99,97
74,52
79,35
70,90
75,32
81,33
24,91
56,63
96,84
36,62
26,36
77,84
72,98
91,43
62,52
24,24
1,47
99,87
78,2
87,63
85,63
55,52
53,5
79,12
34,53
95,63
25,40
57,11
34,32
40,24
50,1
3,31
15,18
54,5
93,84
80,56
36,7
4,59
26,85
20,52
39,19
100,97
40,84
33,33
4,27
74,45
31,99
79,55
66,28
14,21
41,42
64,77
5,39
83,8
70,74
92,50
94,54
3,75
18,23
86,39
91,41
10,85
56,72
34,79
12,98
56,55
61,17
93,93
14,22
48,82
95,43
91,74
96,59
50,54
71,36
25,2
32,73
51,46
86,72
73,50
26,92
45,46
29,33
15,73
49,92
68,48
39,53
45,50
8,36
75,11
37,47
16,56
2,87
71,34
39,37
79,61
96,86
14,85
89,54
22,70
8,28
90,6
27,26
100,6
69,7
68,13
15,37
99,77
18,42
70,7
79,96
90,23
34,32
26,77
53,50
60,97
28,25
39,56
18,88
59,25
41,33
100,38
43,28
7,12
35,47
28,98
12,32
20,24
24,51
3,49
91,80
14,81
80,83
39,8
16,61
31,57
96,44
94,79
7,74
60,59
67,46
80,93
75,37
43,88
20,84
96,7
73,16
79,33
73,34
81,30
97,34
94,37
100,80
66,46
8,80
42,77
79,92
3,25
32,64
21,81
78,93
35,41
76,62
4,95
1,80
75,17
40,70
12,78
26,68
4,26
71,95
11,96
90,97
70,26
12,72
49,65
50,23
46,6
92,64
15,7
67,36
98,11
96,87
94,6
73,53
20,53
92,24
69,3
37,19
66,79
90,60
87,40
2,68
42,67
37,94
65,25
79,81
62,32
27,92
56,23
75,15
51,80
36,56
31,32
97,97
24,63
90,70
10,79
81,25
4,63
4,50
92,53
61,96
86,84
29,90
37,21
95,65
40,20
3,27
53,31
15,66
63,85
94,40
21,11
34,28
36,6
74,2
58,76
2,68
29,86
36,90
100,59
30,45
54,92
69,92
28,39
96,87
57,57
45,68
31,4
78,5
96,90
23,16
80,10
84,24
88,72
93,66
99,38
75,35
93,84
53,31
18,36
26,25
36,33
34,4
61,94
43,46
61,82
45,1
72,84
41,80
78,70
60,64
33,16
16,100
99,86
48,47
54,95
8,81
51,72
35,5
97,27
97,95
59,63
45,80
53,18
21,51
9,40
38,7
5,97
96,85
60,99
16,32
9,60
13,78
56,46
60,82
7,44
10,33
32,8
25,37
65,20
51,41
43,19
44,34
12,98
31,68
27,51
28,13
61,75
68,61
14,21
36,27
45,37
75,94
34,17
81,75
81,45
31,69
36,98
4,15
20,50
54,34
96,5
64,58
51,1
48,17
84,74
79,100
40,80
58,94
79,97
19,3
21,87
19,40
10,50
67,95
10,31
64,44
71,62
33,70
4,60
16,39
34,19
60,49
26,21
45,28
35,93
66,22
19,15
95,94
71,37
57,68
7,63
84,98
95,40
95,85
17,20
10,30
94,43
28,52
38,79
85,40
97,82
75,100
33,32
2,65
23,84
34,63
51,84
2,57
83,34
75,69
21,30
79,86
95,96
41,94
94,93
97,86
84,24
31,81
82,3
29,60
61,46
22,35
10,54
25,90
96,29
5,64
88,17
41,35
71,93
43,90
41,60
65,37
8,19
94,26
62,7
56,20
70,67
89,19
93,53
97,40
59,53
89,9
16,89
67,34
98,97
82,84
22,24
2,66
51,41
78,36
55,52
14,38
56,52
67,73
79,28
37,26
50,48
43,44
9,90
16,96
31,26
45,32
80,42
53,68
74,94
61,55
36,7
71,84
65,31
19,19
44,33
68,3
30,35
61,29
73,31
66,28
37,80
53,12
20,13
20,96
90,54
86,49
30,66
66,9
19,20
84,8
23,96
88,45
97,66
51,30
79,32
64,4
65,53
86,62
68,3
53,19
22,46
25,58
52,34
40,20
32,30
9,55
70,89
55,40
74,58
33,66
4,6
37,3
30,7
19,22
76,10
35,22
40,45
41,15
96,99
64,43
97,38
8,62
19,29
36,72
64,6
90,14
93,80
48,65
8,99
67,19
99,90
81,8
11,82
70,72
22,15
15,7
28,28
28,82
67,18
93,30
70,85
56,68
91,47
19,90
75,69
16,15
81,45
29,81
95,7
23,3
38,35
11,23
71,60
83,34
55,54
80,34
47,50
49,69
77,1
75,90
26,84
77,22
79,6
37,77
84,90
87,83
13,42
10,64
60,55
97,40
12,44
47,53
11,27
47,69
84,88
36,69
49,39
28,26
43,37
95,84
32,8
18,96
81,37
1,98
86,72
12,68
87,85
66,95
17,82
8,49
48,7
93,36
82,89
78,57
45,53
16,48
66,61
74,44
5,92
73,86
8,57
84,89
42,58
14,68
40,74
15,55
18,40
94,80
7,39
46,84
54,97
24,73
3,58
23,56
42,94
74,83
47,34
48,86
38,91
68,87
7,43
99,97
61,88
41,98
40,50
90,29
41,33
93,99
14,27
81,100
44,92
81,46
4,45
61,50
6,78
84,14
56,7
41,20
40,36
53,28
39,43
50,100
79,32
12,93
4,35
15,65
11,49
90,44
25,93
91,37
72,68
53,74
27,78
57,35
90,78
54,24
17,14
31,45
84,66
81,18
28,87
53,67
36,43
62,53
25,71
54,19
34,26
38,78
26,70
66,81
63,78
98,59
80,99
7,87
69,61
5,37
85,85
61,35
7,48
31,47
90,13
20,80
54,27
56,23
40,8
94,81
92,73
71,58
74,26
38,18
53,41
89,65
48,11
94,57
69,58
41,66
43,75
76,94
45,49
89,31
38,52
41,26
94,1
70,19
37,84
81,29
58,23
51,75
78,21
20,7
81,61
23,53
33,45
8,45
18,51
68,28
25,96
87,70
99,49
55,54
35,49
7,95
70,51
8,26
46,35
33,33
98,26
60,76
87,93
94,14
96,79
4,66
25,20
33,35
5,53
98,4
13,10
11,11
6,51
35,17
12,37
75,14
89,20
7,8
81,45
16,46
68,15
94,12
18,54
85,80
52,6
67,57
94,37
22,39
57,71
22,93
52,25
38,41
75,70
87,2
40,14
1,2
1,5
31,68
59,48
43,78
33,85
70,63
96,76
67,29
27,61
6,63
60,97
35,41
5,33
12,41
7,30
40,55
67,28
77,100
11,37
64,85
68,93
48,75
44,96
86,19
29,66
39,19
94,98
5,48
61,12
30,31
25,33
46,9
80,57
36,52
18,55
40,16
83,10
10,7
85,92
97,17
33,78
81,74
81,92
24,91
95,23
98,13
59,56
57,22
25,43
63,6
61,18
68,59
81,12
15,59
58,42
97,83
63,76
44,62
66,22
97,74
93,96
95,14
20,64
13,12
6,72
48,24
9,48
48,20
20,83
30,95
2,70
80,50
63,31
19,89
50,49
10,97
34,29
67,82
6,28
24,76
57,6
42,49
40,7
38,40
15,28
79,46
93,80
54,11
44,83
93,79
