cantidad,algoritmo,resultado
20,backtracking,3
20,pl_entera,3
20,pl_aproximado,9
20,greedy,4
100,backtracking,6
100,pl_entera,6
100,pl_aproximado,18
100,greedy,6
105,backtracking,6
105,pl_entera,6
105,pl_aproximado,22
105,greedy,7
10,backtracking,2
10,pl_entera,2
10,pl_aproximado,7
10,greedy,2
110,backtracking,6
110,pl_entera,6
110,pl_aproximado,19
110,greedy,8
115,backtracking,6
115,pl_entera,6
115,pl_aproximado,22
115,greedy,6
120,backtracking,6
120,pl_entera,6
120,pl_aproximado,20
120,greedy,7
125,backtracking,6
125,pl_entera,6
125,pl_aproximado,21
125,greedy,7
130,backtracking,6
130,pl_entera,6
130,pl_aproximado,20
130,greedy,7
135,backtracking,7
135,pl_entera,7
135,pl_aproximado,21
135,greedy,8
140,backtracking,7
140,pl_entera,7
140,pl_aproximado,22
140,greedy,7
145,backtracking,7
145,pl_entera,7
145,pl_aproximado,21
145,greedy,8
150,backtracking,7
150,pl_entera,7
150,pl_aproximado,23
150,greedy,8
155,backtracking,7
155,pl_entera,7
155,pl_aproximado,21
155,greedy,7
15,backtracking,3
15,pl_entera,3
15,pl_aproximado,6
15,greedy,3
160,backtracking,7
160,pl_entera,7
160,pl_aproximado,22
160,greedy,8
165,backtracking,7
165,pl_entera,7
165,pl_aproximado,20
165,greedy,8
170,backtracking,7
170,pl_entera,7
170,pl_aproximado,21
170,greedy,8
175,backtracking,7
175,pl_entera,7
175,pl_aproximado,23
175,greedy,7
180,backtracking,7
180,pl_entera,7
180,pl_aproximado,21
180,greedy,8
185,backtracking,7
185,pl_entera,7
185,pl_aproximado,21
185,greedy,7
190,backtracking,7
190,pl_entera,7
190,pl_aproximado,24
190,greedy,8
195,backtracking,7
195,pl_entera,7
195,pl_aproximado,21
195,greedy,8
200,backtracking,7
200,pl_entera,7
200,pl_aproximado,24
200,greedy,7
25,backtracking,4
25,pl_entera,4
25,pl_aproximado,14
25,greedy,4
30,backtracking,4
30,pl_entera,4
30,pl_aproximado,13
30,greedy,4
35,backtracking,4
35,pl_entera,4
35,pl_aproximado,13
35,greedy,4
40,backtracking,4
40,pl_entera,4
40,pl_aproximado,13
40,greedy,5
45,backtracking,5
45,pl_entera,5
45,pl_aproximado,17
45,greedy,5
50,backtracking,4
50,pl_entera,4
50,pl_aproximado,13
50,greedy,5
55,backtracking,5
55,pl_entera,5
55,pl_aproximado,17
55,greedy,5
5,backtracking,2
5,pl_entera,2
5,pl_aproximado,5
5,greedy,2
60,backtracking,5
60,pl_entera,5
60,pl_aproximado,14
60,greedy,5
65,backtracking,5
65,pl_entera,5
65,pl_aproximado,16
65,greedy,5
70,backtracking,5
70,pl_entera,5
70,pl_aproximado,17
70,greedy,6
75,backtracking,5
75,pl_entera,5
75,pl_aproximado,18
75,greedy,6
80,backtracking,6
80,pl_entera,6
80,pl_aproximado,20
80,greedy,6
85,backtracking,6
85,pl_entera,6
85,pl_aproximado,20
85,greedy,7
90,backtracking,6
90,pl_entera,6
90,pl_aproximado,20
90,greedy,6
95,backtracking,6
95,pl_entera,6
95,pl_aproximado,22
95,greedy,6
