cantidad,algoritmo,resultado
100,backtracking,9
100,pl_entera,9
100,pl_aproximado,23
100,greedy,10
10,backtracking,3
10,pl_entera,3
10,pl_aproximado,6
10,greedy,3
10,backtracking,10
10,pl_entera,10
10,pl_aproximado,10
10,greedy,10
10,backtracking,6
10,pl_entera,6
10,pl_aproximado,6
10,greedy,6
15,backtracking,4
15,pl_entera,4
15,pl_aproximado,11
15,greedy,5
20,backtracking,5
20,pl_entera,5
20,pl_aproximado,12
20,greedy,5
200,backtracking,9
200,pl_entera,9
200,pl_aproximado,27
200,greedy,10
5,backtracking,2
5,pl_entera,2
5,pl_aproximado,2
5,greedy,2
50,backtracking,6
50,pl_entera,6
50,pl_aproximado,13
50,greedy,7
7,backtracking,2
7,pl_entera,2
7,pl_aproximado,2
7,greedy,2
75,backtracking,8
75,pl_entera,8
75,pl_aproximado,20
75,greedy,9
